Grammar Point,Meaning,Korean Example,English Example
-는 대로,as~,바라는 대로 이루어진다.,You can become as you wish.
-는 셈 치다,considering~,연습하는 셈 치고 오디션에 간다.,I take auditions considering them as practices.
-다시피,as~,보다시피 요즘 직장인들은 바빠요.,"As you can see, employees these days are busy."
-대로,as~,교수님의 말씀대로 하자.,Let's do as the professor told us.
-듯이,like~,미친 듯이 춤췄다.,I danced like a crazy person.
-만 못하다,not as~,중고는 신제품만 못해요.,Second-hand is not as good as a new product.
-자마자,as soon as~,사장님은 좋은 소식을 듣자마자 미소 지었다.,The boss smiled as soon as he heard the good news.
만큼,as~,가족만큼 중요한 것은 없다.,There is nothing as important as family.
(이)나,even,쇼핑하는데 열 시간이나 걸렸어요.,It took even ten hours to shop.
-(으)ㄴ/는들,Even if~,내가 간들 소용없다.,"Even if I go, it won't help much."
